sub,electrode,values,perm_p,epoch,predictor,sig,cing_pvals
CP34,LIH2-LIH3,8,2,presentation,ineq_advent,0,8
CP34,LIH2-LIH3,8,2,presentation,other_payoff,0,8
CP34,LIH2-LIH3,8,0.117,choice,ineq_advent,0,8
CP34,LIH2-LIH3,8,2,choice,ineq_disadvent,0,8
CP34,LIH2-LIH3,8,2,presentation,ineq_disadvent,0,8
CP34,LIH2-LIH3,8,0.001,presentation,self_payoff,1,8
CP34,LIH2-LIH3,8,2,choice,other_payoff,0,8
CP34,LIH2-LIH3,8,0,choice,self_payoff,1,8
CP34,LIH3-LIH4,8,0.019,presentation,ineq_advent,0,0
CP34,LIH3-LIH4,8,2,choice,ineq_advent,0,0
CP34,LIH3-LIH4,8,0.068,presentation,ineq_disadvent,0,0
CP34,LIH3-LIH4,8,0.086,presentation,other_payoff,0,0
CP34,LIH3-LIH4,8,2,presentation,self_payoff,0,0
CP34,LIH3-LIH4,8,2,choice,ineq_disadvent,0,0
CP34,LIH3-LIH4,8,2,choice,other_payoff,0,0
CP34,LIH3-LIH4,8,2,choice,self_payoff,0,0
CP34,RHPA2-RHPA3,8,2,presentation,ineq_advent,0,0
CP34,RHPA2-RHPA3,8,0.013,choice,ineq_disadvent,0,0
CP34,RHPA2-RHPA3,8,2,presentation,other_payoff,0,0
CP34,RHPA2-RHPA3,8,2,choice,ineq_advent,0,0
CP34,RHPA2-RHPA3,8,2,presentation,ineq_disadvent,0,0
CP34,RHPA2-RHPA3,8,2,presentation,self_payoff,0,0
CP34,RHPA2-RHPA3,8,2,choice,other_payoff,0,0
CP34,RHPA2-RHPA3,8,2,choice,self_payoff,0,0
CP34,RHPA3-RHPA4,8,2,presentation,other_payoff,0,8
CP34,RHPA3-RHPA4,8,0.001,presentation,self_payoff,1,8
CP34,RHPA3-RHPA4,8,2,choice,ineq_advent,0,8
CP34,RHPA3-RHPA4,8,2,choice,ineq_disadvent,0,8
CP34,RHPA3-RHPA4,8,2,choice,other_payoff,0,8
CP34,RHPA3-RHPA4,8,2,presentation,ineq_disadvent,0,8
CP34,RHPA3-RHPA4,8,2,presentation,ineq_advent,0,8
CP34,RHPA3-RHPA4,8,2,choice,self_payoff,0,8
CP34,RIHA2-RIHA3,8,0.093,presentation,self_payoff,0,0
CP34,RIHA2-RIHA3,8,2,presentation,other_payoff,0,0
CP34,RIHA2-RIHA3,8,2,choice,ineq_advent,0,0
CP34,RIHA2-RIHA3,8,2,choice,ineq_disadvent,0,0
CP34,RIHA2-RIHA3,8,2,choice,other_payoff,0,0
CP34,RIHA2-RIHA3,8,2,choice,self_payoff,0,0
CP34,RIHA2-RIHA3,8,2,presentation,ineq_advent,0,0
CP34,RIHA2-RIHA3,8,2,presentation,ineq_disadvent,0,0
CP34,RIHA3-RIHA4,8,2,choice,ineq_advent,0,0
CP34,RIHA3-RIHA4,8,2,presentation,self_payoff,0,0
CP34,RIHA3-RIHA4,8,2,choice,ineq_disadvent,0,0
CP34,RIHA3-RIHA4,8,2,presentation,ineq_advent,0,0
CP34,RIHA3-RIHA4,8,2,presentation,ineq_disadvent,0,0
CP34,RIHA3-RIHA4,8,2,presentation,other_payoff,0,0
CP34,RIHA3-RIHA4,8,2,choice,self_payoff,0,0
CP34,RIHA3-RIHA4,8,2,choice,other_payoff,0,0
CP34,RIHP5-RIHP6,8,2,presentation,self_payoff,0,0
CP34,RIHP5-RIHP6,8,2,presentation,ineq_advent,0,0
CP34,RIHP5-RIHP6,8,2,presentation,other_payoff,0,0
CP34,RIHP5-RIHP6,8,2,presentation,ineq_disadvent,0,0
CP34,RIHP5-RIHP6,8,2,choice,ineq_advent,0,0
CP34,RIHP5-RIHP6,8,2,choice,ineq_disadvent,0,0
CP34,RIHP5-RIHP6,8,2,choice,other_payoff,0,0
CP34,RIHP5-RIHP6,8,0.051,choice,self_payoff,0,0
CP34,RIHP6-RIHP7,8,2,choice,ineq_disadvent,0,8
CP34,RIHP6-RIHP7,8,2,presentation,ineq_advent,0,8
CP34,RIHP6-RIHP7,8,2,choice,ineq_advent,0,8
CP34,RIHP6-RIHP7,8,0.001,choice,other_payoff,1,8
CP34,RIHP6-RIHP7,8,2,presentation,ineq_disadvent,0,8
CP34,RIHP6-RIHP7,8,2,choice,self_payoff,0,8
CP34,RIHP6-RIHP7,8,0.038,presentation,other_payoff,0,8
CP34,RIHP6-RIHP7,8,2,presentation,self_payoff,0,8
CP34,RIHP7-RIHP8,8,2,choice,other_payoff,0,0
CP34,RIHP7-RIHP8,8,0.108,choice,ineq_disadvent,0,0
CP34,RIHP7-RIHP8,8,2,choice,ineq_advent,0,0
CP34,RIHP7-RIHP8,8,2,choice,self_payoff,0,0
CP34,RIHP7-RIHP8,8,2,presentation,ineq_advent,0,0
CP34,RIHP7-RIHP8,8,2,presentation,ineq_disadvent,0,0
CP34,RIHP7-RIHP8,8,2,presentation,other_payoff,0,0
CP34,RIHP7-RIHP8,8,2,presentation,self_payoff,0,0
