sub,electrode,values,perm_p,epoch,predictor,sig,cing_pvals
IR35,LAC10-LAC11,6,0,choice,self_payoff,1,6
IR35,LAC10-LAC11,6,0,presentation,ineq_advent,1,6
IR35,LAC10-LAC11,6,0.007,presentation,ineq_disadvent,1,6
IR35,LAC10-LAC11,6,2,choice,self_var_payoff,0,6
IR35,LAC10-LAC11,6,2,presentation,other_payoff,0,6
IR35,LAC10-LAC11,6,2,choice,other_payoff,0,6
IR35,LAC10-LAC11,6,5e-4,choice,other_var_payoff,1,6
IR35,LAC10-LAC11,6,0,presentation,self_payoff,1,6
IR35,LAC10-LAC11,6,2,choice,self_foregone,0,6
IR35,LAC10-LAC11,6,2,choice,ineq_disadvent,0,6
IR35,LAC10-LAC11,6,5e-4,choice,other_foregone,1,6
IR35,LAC10-LAC11,6,0,choice,ineq_advent,1,6
IR35,LAC6-LAC7,6,2,choice,self_payoff,0,6
IR35,LAC6-LAC7,6,2,choice,self_var_payoff,0,6
IR35,LAC6-LAC7,6,2,choice,self_foregone,0,6
IR35,LAC6-LAC7,6,2,presentation,ineq_disadvent,0,6
IR35,LAC6-LAC7,6,2,presentation,other_payoff,0,6
IR35,LAC6-LAC7,6,2,presentation,self_payoff,0,6
IR35,LAC6-LAC7,6,2,choice,ineq_advent,0,6
IR35,LAC6-LAC7,6,2,choice,ineq_disadvent,0,6
IR35,LAC6-LAC7,6,0.0012,choice,other_foregone,1,6
IR35,LAC6-LAC7,6,2,choice,other_payoff,0,6
IR35,LAC6-LAC7,6,0.005,choice,other_var_payoff,1,6
IR35,LAC6-LAC7,6,2,presentation,ineq_advent,0,6
IR35,LAC7-LAC8,6,2,choice,self_payoff,0,0
IR35,LAC7-LAC8,6,2,choice,other_payoff,0,0
IR35,LAC7-LAC8,6,2,choice,self_var_payoff,0,0
IR35,LAC7-LAC8,6,2,choice,ineq_advent,0,0
IR35,LAC7-LAC8,6,2,choice,ineq_disadvent,0,0
IR35,LAC7-LAC8,6,2,choice,other_var_payoff,0,0
IR35,LAC7-LAC8,6,0.0704,choice,self_foregone,0,0
IR35,LAC7-LAC8,6,2,presentation,other_payoff,0,0
IR35,LAC7-LAC8,6,0.024,presentation,self_payoff,0,0
IR35,LAC7-LAC8,6,0.0242,choice,other_foregone,0,0
IR35,LAC7-LAC8,6,2,presentation,ineq_disadvent,0,0
IR35,LAC7-LAC8,6,2,presentation,ineq_advent,0,0
