sub,electrode,values,perm_p,epoch,predictor,sig,cing_pvals
IR57,LAC1-LAC2,7,0,presentation,ineq_disadvent,1,7
IR57,LAC1-LAC2,7,0.479,presentation,other_foregone,0,7
IR57,LAC1-LAC2,7,2,choice,ineq_advent,0,7
IR57,LAC1-LAC2,7,2,presentation,ineq_advent,0,7
IR57,LAC1-LAC2,7,2,presentation,other_payoff,0,7
IR57,LAC1-LAC2,7,0.016,presentation,other_var_payoff,0,7
IR57,LAC1-LAC2,7,0.055,presentation,self_foregone,0,7
IR57,LAC1-LAC2,7,2,choice,self_foregone,0,7
IR57,LAC1-LAC2,7,2,choice,self_payoff,0,7
IR57,LAC1-LAC2,7,2,choice,other_var_payoff,0,7
IR57,LAC1-LAC2,7,2,choice,other_foregone,0,7
IR57,LAC1-LAC2,7,2,choice,other_payoff,0,7
IR57,LAC1-LAC2,7,2,choice,ineq_disadvent,0,7
IR57,LAC1-LAC2,7,2,choice,self_var_payoff,0,7
IR57,LAC1-LAC2,7,2,presentation,self_payoff,0,7
IR57,LAC1-LAC2,7,0.918,presentation,self_var_payoff,0,7
IR57,LAC2-LAC3,7,2,choice,ineq_advent,0,7
IR57,LAC2-LAC3,7,2,choice,ineq_disadvent,0,7
IR57,LAC2-LAC3,7,0.0093,choice,self_foregone,1,7
IR57,LAC2-LAC3,7,0.01,presentation,ineq_advent,0,7
IR57,LAC2-LAC3,7,2,presentation,ineq_disadvent,0,7
IR57,LAC2-LAC3,7,0.975,presentation,other_foregone,0,7
IR57,LAC2-LAC3,7,0.008,presentation,other_payoff,1,7
IR57,LAC2-LAC3,7,0.92,presentation,other_var_payoff,0,7
IR57,LAC2-LAC3,7,0.988,presentation,self_foregone,0,7
IR57,LAC2-LAC3,7,2,presentation,self_payoff,0,7
IR57,LAC2-LAC3,7,2,choice,other_payoff,0,7
IR57,LAC2-LAC3,7,2,choice,other_var_payoff,0,7
IR57,LAC2-LAC3,7,2,choice,self_payoff,0,7
IR57,LAC2-LAC3,7,0.1028,choice,other_foregone,0,7
IR57,LAC2-LAC3,7,0.119,presentation,self_var_payoff,0,7
IR57,LAC2-LAC3,7,0.0524,choice,self_var_payoff,0,7
IR57,LAC3-LAC4,7,2,presentation,ineq_advent,0,7
IR57,LAC3-LAC4,7,2,presentation,ineq_disadvent,0,7
IR57,LAC3-LAC4,7,0.001,presentation,other_var_payoff,1,7
IR57,LAC3-LAC4,7,0.998,presentation,self_foregone,0,7
IR57,LAC3-LAC4,7,2,presentation,self_payoff,0,7
IR57,LAC3-LAC4,7,0.528,presentation,other_foregone,0,7
IR57,LAC3-LAC4,7,2,presentation,other_payoff,0,7
IR57,LAC3-LAC4,7,2,choice,ineq_advent,0,7
IR57,LAC3-LAC4,7,0.004,choice,ineq_disadvent,1,7
IR57,LAC3-LAC4,7,0.0634,choice,other_foregone,0,7
IR57,LAC3-LAC4,7,2,choice,other_payoff,0,7
IR57,LAC3-LAC4,7,2,choice,self_foregone,0,7
IR57,LAC3-LAC4,7,2,choice,self_payoff,0,7
IR57,LAC3-LAC4,7,2,choice,self_var_payoff,0,7
IR57,LAC3-LAC4,7,0.0588,choice,other_var_payoff,0,7
IR57,LAC3-LAC4,7,1,presentation,self_var_payoff,0,7
IR57,LAC4-LAC5,7,0.024,choice,self_payoff,0,7
IR57,LAC4-LAC5,7,2,choice,self_var_payoff,0,7
IR57,LAC4-LAC5,7,0,choice,ineq_advent,1,7
IR57,LAC4-LAC5,7,2,choice,ineq_disadvent,0,7
IR57,LAC4-LAC5,7,0.0989,choice,other_foregone,0,7
IR57,LAC4-LAC5,7,0.06,presentation,other_var_payoff,0,7
IR57,LAC4-LAC5,7,0.017,presentation,self_foregone,0,7
IR57,LAC4-LAC5,7,0,presentation,self_payoff,1,7
IR57,LAC4-LAC5,7,0,presentation,self_var_payoff,1,7
