sub,electrode,values,perm_p,epoch,predictor,sig,cing_pvals
IR57,LAC1-LAC2,7,2,presentation,other_payoff,0,7
IR57,LAC1-LAC2,7,2,presentation,self_payoff,0,7
IR57,LAC1-LAC2,7,2,choice,other_payoff,0,7
IR57,LAC1-LAC2,7,2,choice,other_var_payoff,0,7
IR57,LAC1-LAC2,7,2,choice,other_foregone,0,7
IR57,LAC1-LAC2,7,2,choice,ineq_advent,0,7
IR57,LAC1-LAC2,7,2,choice,ineq_disadvent,0,7
IR57,LAC1-LAC2,7,2,presentation,ineq_advent,0,7
IR57,LAC1-LAC2,7,2e-4,choice,self_foregone,1,7
IR57,LAC1-LAC2,7,2,choice,self_payoff,0,7
IR57,LAC1-LAC2,7,2,presentation,ineq_disadvent,0,7
IR57,LAC1-LAC2,7,2,choice,self_var_payoff,0,7
IR57,LAC2-LAC3,7,2,choice,other_var_payoff,0,7
IR57,LAC2-LAC3,7,6e-4,choice,self_foregone,1,7
IR57,LAC2-LAC3,7,2,choice,self_payoff,0,7
IR57,LAC2-LAC3,7,2,presentation,self_payoff,0,7
IR57,LAC2-LAC3,7,0,choice,self_var_payoff,1,7
IR57,LAC2-LAC3,7,2,presentation,ineq_advent,0,7
IR57,LAC2-LAC3,7,0.011,presentation,ineq_disadvent,0,7
IR57,LAC2-LAC3,7,0.038,presentation,other_payoff,0,7
IR57,LAC2-LAC3,7,2,choice,other_foregone,0,7
IR57,LAC2-LAC3,7,2,choice,ineq_advent,0,7
IR57,LAC2-LAC3,7,2,choice,ineq_disadvent,0,7
IR57,LAC2-LAC3,7,0,choice,other_payoff,1,7
IR57,LAC3-LAC4,7,2,choice,self_payoff,0,7
IR57,LAC3-LAC4,7,2,choice,ineq_advent,0,7
IR57,LAC3-LAC4,7,0.1069,choice,self_foregone,0,7
IR57,LAC3-LAC4,7,0,choice,ineq_disadvent,1,7
IR57,LAC3-LAC4,7,0.1329,choice,other_var_payoff,0,7
IR57,LAC3-LAC4,7,0,choice,other_payoff,1,7
IR57,LAC3-LAC4,7,2,choice,other_foregone,0,7
IR57,LAC3-LAC4,7,2,choice,self_var_payoff,0,7
IR57,LAC3-LAC4,7,2,presentation,self_payoff,0,7
IR57,LAC3-LAC4,7,0,presentation,other_payoff,1,7
IR57,LAC3-LAC4,7,2,presentation,ineq_advent,0,7
