sub,electrode,values,perm_p,epoch,predictor,sig,cing_pvals
IR57,LAC8-LAC9,7,2,presentation,ineq_advent,0,7
IR57,LAC8-LAC9,7,2,presentation,self_payoff,0,7
IR57,LAC8-LAC9,7,2,choice,ineq_disadvent,0,7
IR57,LAC8-LAC9,7,2,presentation,ineq_disadvent,0,7
IR57,LAC8-LAC9,7,0.002,presentation,other_payoff,1,7
IR57,LAC8-LAC9,7,0.1,choice,ineq_advent,0,7
IR57,LAC8-LAC9,7,2,choice,other_foregone,0,7
IR57,LAC8-LAC9,7,0,choice,other_payoff,1,7
IR57,LAC8-LAC9,7,2,choice,self_foregone,0,7
IR57,LAC8-LAC9,7,2,choice,self_payoff,0,7
IR57,LAC8-LAC9,7,0.0521,choice,self_var_payoff,0,7
IR57,LAC8-LAC9,7,2,choice,other_var_payoff,0,7
IR57,LAC9-LAC10,7,0.131,presentation,self_payoff,0,0
IR57,LAC9-LAC10,7,2,choice,ineq_disadvent,0,0
IR57,LAC9-LAC10,7,2,choice,other_foregone,0,0
IR57,LAC9-LAC10,7,2,choice,ineq_advent,0,0
IR57,LAC9-LAC10,7,2,presentation,other_payoff,0,0
IR57,LAC9-LAC10,7,2,presentation,ineq_advent,0,0
IR57,LAC9-LAC10,7,2,presentation,ineq_disadvent,0,0
IR57,LAC9-LAC10,7,2,choice,other_payoff,0,0
IR57,LAC9-LAC10,7,0.0597,choice,other_var_payoff,0,0
IR57,LAC9-LAC10,7,2,choice,self_foregone,0,0
IR57,LAC9-LAC10,7,2,choice,self_payoff,0,0
IR57,LAC9-LAC10,7,0.0103,choice,self_var_payoff,0,0
IR57,LIN6-LIN7,7,0,choice,ineq_disadvent,1,7
IR57,LIN6-LIN7,7,2,choice,other_foregone,0,7
IR57,LIN6-LIN7,7,0,choice,ineq_advent,1,7
IR57,LIN6-LIN7,7,0,presentation,ineq_advent,1,7
IR57,LIN6-LIN7,7,0.1,choice,other_payoff,0,7
IR57,LIN6-LIN7,7,0,presentation,self_payoff,1,7
IR57,LIN6-LIN7,7,0,presentation,ineq_disadvent,1,7
IR57,LIN6-LIN7,7,2,choice,self_foregone,0,7
IR57,LIN6-LIN7,7,0,choice,self_payoff,1,7
IR57,LIN6-LIN7,7,0,choice,self_var_payoff,1,7
IR57,LIN6-LIN7,7,2,choice,other_var_payoff,0,7
IR57,LIN6-LIN7,7,2,presentation,other_payoff,0,7
IR57,LIN7-LIN8,7,2,choice,other_foregone,0,7
IR57,LIN7-LIN8,7,0,choice,ineq_disadvent,1,7
IR57,LIN7-LIN8,7,0,choice,ineq_advent,1,7
IR57,LIN7-LIN8,7,2,choice,other_payoff,0,7
IR57,LIN7-LIN8,7,0.014,presentation,self_payoff,0,7
IR57,LIN7-LIN8,7,2,choice,self_foregone,0,7
IR57,LIN7-LIN8,7,2,choice,self_payoff,0,7
IR57,LIN7-LIN8,7,0.0241,choice,self_var_payoff,0,7
IR57,LIN7-LIN8,7,2,choice,other_var_payoff,0,7
IR57,LIN7-LIN8,7,2,presentation,other_payoff,0,7
IR57,LIN7-LIN8,7,0,presentation,ineq_advent,1,7
IR57,LIN7-LIN8,7,0,presentation,ineq_disadvent,1,7
IR57,LIN8-LIN9,7,2,choice,ineq_advent,0,0
IR57,LIN8-LIN9,7,0.126,presentation,self_payoff,0,0
IR57,LIN8-LIN9,7,2,presentation,ineq_advent,0,0
IR57,LIN8-LIN9,7,2,choice,ineq_disadvent,0,0
IR57,LIN8-LIN9,7,0.15,presentation,ineq_disadvent,0,0
IR57,LIN8-LIN9,7,2,presentation,other_payoff,0,0
IR57,LIN8-LIN9,7,2,choice,other_payoff,0,0
IR57,LIN8-LIN9,7,2,choice,other_foregone,0,0
IR57,LIN8-LIN9,7,2,choice,other_var_payoff,0,0
IR57,LIN8-LIN9,7,2,choice,self_foregone,0,0
IR57,LIN8-LIN9,7,2,choice,self_var_payoff,0,0
IR57,LIN8-LIN9,7,2,choice,self_payoff,0,0
IR57,LIN9-LIN10,7,2,presentation,self_payoff,0,0
IR57,LIN9-LIN10,7,2,choice,other_var_payoff,0,0
IR57,LIN9-LIN10,7,2,choice,ineq_advent,0,0
IR57,LIN9-LIN10,7,2,choice,other_payoff,0,0
IR57,LIN9-LIN10,7,2,choice,ineq_disadvent,0,0
IR57,LIN9-LIN10,7,2,choice,other_foregone,0,0
IR57,LIN9-LIN10,7,2,presentation,ineq_advent,0,0
IR57,LIN9-LIN10,7,2,presentation,ineq_disadvent,0,0
IR57,LIN9-LIN10,7,2,presentation,other_payoff,0,0
IR57,LIN9-LIN10,7,2,choice,self_var_payoff,0,0
IR57,LIN9-LIN10,7,2,choice,self_payoff,0,0
IR57,LIN9-LIN10,7,0.069,choice,self_foregone,0,0
IR57,RAC7-RAC8,7,0,presentation,ineq_advent,1,7
IR57,RAC7-RAC8,7,0.0071,choice,self_foregone,1,7
IR57,RAC7-RAC8,7,0.097,choice,self_payoff,0,7
IR57,RAC7-RAC8,7,2,choice,other_payoff,0,7
IR57,RAC7-RAC8,7,0.1399,choice,other_var_payoff,0,7
IR57,RAC7-RAC8,7,0,presentation,self_payoff,1,7
IR57,RAC7-RAC8,7,2,choice,other_foregone,0,7
IR57,RAC7-RAC8,7,0.082,choice,ineq_advent,0,7
IR57,RAC7-RAC8,7,0.003,presentation,ineq_disadvent,1,7
IR57,RAC7-RAC8,7,2e-4,choice,self_var_payoff,1,7
IR57,RAC7-RAC8,7,2,presentation,other_payoff,0,7
IR57,RAC7-RAC8,7,0.001,choice,ineq_disadvent,1,7
IR57,RAC8-RAC9,7,0,choice,ineq_advent,1,7
IR57,RAC8-RAC9,7,0,choice,ineq_disadvent,1,7
IR57,RAC8-RAC9,7,2,choice,other_var_payoff,0,7
IR57,RAC8-RAC9,7,0.0447,choice,self_foregone,0,7
IR57,RAC8-RAC9,7,0,presentation,self_payoff,1,7
IR57,RAC8-RAC9,7,2,choice,other_foregone,0,7
IR57,RAC8-RAC9,7,2,choice,other_payoff,0,7
IR57,RAC8-RAC9,7,0,presentation,ineq_advent,1,7
IR57,RAC8-RAC9,7,0.006,presentation,ineq_disadvent,1,7
IR57,RAC8-RAC9,7,2,presentation,other_payoff,0,7
IR57,RAC8-RAC9,7,0.003,choice,self_payoff,1,7
IR57,RAC8-RAC9,7,0.1132,choice,self_var_payoff,0,7
IR57,RIN7-RIN8,7,0,presentation,self_payoff,1,7
IR57,RIN7-RIN8,7,0,choice,ineq_advent,1,7
IR57,RIN7-RIN8,7,2,choice,ineq_disadvent,0,7
IR57,RIN7-RIN8,7,0,presentation,ineq_advent,1,7
IR57,RIN7-RIN8,7,2,choice,other_var_payoff,0,7
IR57,RIN7-RIN8,7,0.1324,choice,self_foregone,0,7
IR57,RIN7-RIN8,7,2,presentation,ineq_disadvent,0,7
IR57,RIN7-RIN8,7,2,presentation,other_payoff,0,7
IR57,RIN7-RIN8,7,2,choice,other_foregone,0,7
IR57,RIN7-RIN8,7,0.122,choice,other_payoff,0,7
IR57,RIN7-RIN8,7,0,choice,self_payoff,1,7
IR57,RIN7-RIN8,7,2,choice,self_var_payoff,0,7
IR57,RIN8-RIN9,7,0.003,presentation,ineq_advent,1,7
IR57,RIN8-RIN9,7,0,presentation,self_payoff,1,7
IR57,RIN8-RIN9,7,2,presentation,ineq_disadvent,0,7
IR57,RIN8-RIN9,7,2,presentation,other_payoff,0,7
IR57,RIN8-RIN9,7,2,choice,other_var_payoff,0,7
IR57,RIN8-RIN9,7,2,choice,self_foregone,0,7
IR57,RIN8-RIN9,7,2,choice,other_payoff,0,7
IR57,RIN8-RIN9,7,2,choice,other_foregone,0,7
IR57,RIN8-RIN9,7,0,choice,ineq_advent,1,7
IR57,RIN8-RIN9,7,2,choice,ineq_disadvent,0,7
IR57,RIN8-RIN9,7,0,choice,self_payoff,1,7
IR57,RIN8-RIN9,7,0,choice,self_var_payoff,1,7
IR57,RIN9-RIN10,7,0.005,choice,ineq_advent,1,7
IR57,RIN9-RIN10,7,2,choice,other_var_payoff,0,7
IR57,RIN9-RIN10,7,2,choice,self_foregone,0,7
IR57,RIN9-RIN10,7,2,choice,other_payoff,0,7
IR57,RIN9-RIN10,7,2,choice,ineq_disadvent,0,7
IR57,RIN9-RIN10,7,2,choice,other_foregone,0,7
IR57,RIN9-RIN10,7,0,presentation,self_payoff,1,7
IR57,RIN9-RIN10,7,0.025,presentation,ineq_disadvent,0,7
