sub,electrode,values,perm_p,epoch,predictor,sig,cing_pvals
IR57,LAM5-LAM6,7,0.133,choice,ineq_advent,0,0
IR57,LAM5-LAM6,7,0.851,presentation,self_var_payoff,0,0
IR57,LAM5-LAM6,7,2,presentation,ineq_disadvent,0,0
IR57,LAM5-LAM6,7,1,presentation,other_foregone,0,0
IR57,LAM5-LAM6,7,2,presentation,other_payoff,0,0
IR57,LAM5-LAM6,7,1,presentation,other_var_payoff,0,0
IR57,LAM5-LAM6,7,2,presentation,ineq_advent,0,0
IR57,LAM5-LAM6,7,0.966,presentation,self_foregone,0,0
IR57,LAM5-LAM6,7,0.013,presentation,self_payoff,0,0
IR57,LAM5-LAM6,7,2,choice,self_foregone,0,0
IR57,LAM5-LAM6,7,0.008,choice,self_payoff,0,0
IR57,LAM5-LAM6,7,0.0994,choice,self_var_payoff,0,0
IR57,LAM5-LAM6,7,2,choice,other_var_payoff,0,0
IR57,LAM5-LAM6,7,2,choice,ineq_disadvent,0,0
IR57,LAM5-LAM6,7,2,choice,other_foregone,0,0
IR57,LAM5-LAM6,7,0.189,choice,other_payoff,0,0
IR57,LTH8-LTH9,7,2,presentation,ineq_disadvent,0,7
IR57,LTH8-LTH9,7,2,presentation,ineq_advent,0,7
IR57,LTH8-LTH9,7,2,choice,ineq_advent,0,7
IR57,LTH8-LTH9,7,0.058,presentation,other_var_payoff,0,7
IR57,LTH8-LTH9,7,0.979,presentation,self_foregone,0,7
IR57,LTH8-LTH9,7,0.153,presentation,self_payoff,0,7
IR57,LTH8-LTH9,7,0.007,presentation,other_payoff,0,7
IR57,LTH8-LTH9,7,0.662,presentation,self_var_payoff,0,7
IR57,LTH8-LTH9,7,0,choice,other_payoff,1,7
IR57,LTH8-LTH9,7,2,choice,other_var_payoff,0,7
IR57,LTH8-LTH9,7,2,choice,self_var_payoff,0,7
IR57,LTH8-LTH9,7,2,choice,self_foregone,0,7
IR57,LTH8-LTH9,7,0.738,presentation,other_foregone,0,7
IR57,LTH8-LTH9,7,2,choice,ineq_disadvent,0,7
IR57,LTH8-LTH9,7,2,choice,other_foregone,0,7
IR57,LTH8-LTH9,7,0.098,choice,self_payoff,0,7
IR57,LTH9-LTH10,7,0.484,presentation,self_var_payoff,0,7
IR57,LTH9-LTH10,7,0,presentation,ineq_disadvent,1,7
IR57,LTH9-LTH10,7,0.022,presentation,other_foregone,0,7
IR57,LTH9-LTH10,7,2,presentation,other_payoff,0,7
IR57,LTH9-LTH10,7,0.132,presentation,self_payoff,0,7
IR57,LTH9-LTH10,7,0,choice,ineq_advent,1,7
IR57,LTH9-LTH10,7,0.004,presentation,other_var_payoff,1,7
IR57,LTH9-LTH10,7,0.977,presentation,self_foregone,0,7
IR57,LTH9-LTH10,7,0.02,presentation,ineq_advent,0,7
IR57,LTH9-LTH10,7,0.003,choice,self_foregone,1,7
IR57,LTH9-LTH10,7,0,choice,self_payoff,1,7
IR57,LTH9-LTH10,7,2,choice,self_var_payoff,0,7
IR57,LTH9-LTH10,7,2,choice,other_payoff,0,7
IR57,LTH9-LTH10,7,0.0962,choice,other_var_payoff,0,7
IR57,LTH9-LTH10,7,2,choice,ineq_disadvent,0,7
IR57,LTH9-LTH10,7,2,choice,other_foregone,0,7
IR57,RAM8-RAM9,7,2,choice,ineq_advent,0,0
IR57,RAM8-RAM9,7,2,choice,self_foregone,0,0
IR57,RAM8-RAM9,7,2,choice,self_payoff,0,0
IR57,RAM8-RAM9,7,2,choice,self_var_payoff,0,0
IR57,RAM8-RAM9,7,2,presentation,ineq_advent,0,0
IR57,RAM8-RAM9,7,2,presentation,ineq_disadvent,0,0
IR57,RAM8-RAM9,7,0.076,presentation,other_foregone,0,0
IR57,RAM8-RAM9,7,2,choice,ineq_disadvent,0,0
