sub,electrode,values,perm_p,epoch,predictor,sig,cing_pvals
IR9,ROF1-ROF2,1,2,presentation,ineq_advent,0,0
IR9,ROF1-ROF2,1,2,presentation,ineq_disadvent,0,0
IR9,ROF1-ROF2,1,2,choice,ineq_disadvent,0,0
IR9,ROF1-ROF2,1,2,presentation,other_payoff,0,0
IR9,ROF1-ROF2,1,2,presentation,self_payoff,0,0
IR9,ROF1-ROF2,1,0.015,choice,ineq_advent,0,0
IR9,ROF1-ROF2,1,2,choice,other_payoff,0,0
IR9,ROF1-ROF2,1,2,choice,self_payoff,0,0
IR9,ROF2-ROF3,1,0.131,choice,ineq_disadvent,0,1
IR9,ROF2-ROF3,1,2,choice,other_payoff,0,1
IR9,ROF2-ROF3,1,0,choice,self_payoff,1,1
IR9,ROF2-ROF3,1,2,presentation,ineq_advent,0,1
IR9,ROF2-ROF3,1,2,choice,ineq_advent,0,1
IR9,ROF2-ROF3,1,0.14,presentation,self_payoff,0,1
IR9,ROF2-ROF3,1,2,presentation,ineq_disadvent,0,1
IR9,ROF2-ROF3,1,2,presentation,other_payoff,0,1
IR9,ROF3-ROF4,1,2,choice,ineq_advent,0,0
IR9,ROF3-ROF4,1,2,presentation,ineq_advent,0,0
IR9,ROF3-ROF4,1,2,choice,ineq_disadvent,0,0
IR9,ROF3-ROF4,1,2,choice,other_payoff,0,0
IR9,ROF3-ROF4,1,2,choice,self_payoff,0,0
IR9,ROF3-ROF4,1,2,presentation,other_payoff,0,0
IR9,ROF3-ROF4,1,2,presentation,self_payoff,0,0
IR9,ROF3-ROF4,1,2,presentation,ineq_disadvent,0,0
IR9,ROF4-ROF5,1,2,presentation,ineq_advent,0,1
IR9,ROF4-ROF5,1,0.003,presentation,ineq_disadvent,1,1
IR9,ROF4-ROF5,1,2,presentation,other_payoff,0,1
IR9,ROF4-ROF5,1,2,choice,ineq_advent,0,1
IR9,ROF4-ROF5,1,0.019,presentation,self_payoff,0,1
IR9,ROF4-ROF5,1,2,choice,self_payoff,0,1
IR9,ROF4-ROF5,1,2,choice,other_payoff,0,1
IR9,ROF4-ROF5,1,0.003,choice,ineq_disadvent,1,1
IR9,ROF5-ROF6,1,2,presentation,other_payoff,0,1
IR9,ROF5-ROF6,1,0,presentation,ineq_advent,1,1
IR9,ROF5-ROF6,1,2,presentation,ineq_disadvent,0,1
IR9,ROF5-ROF6,1,0.005,presentation,self_payoff,1,1
IR9,ROF5-ROF6,1,0.134,choice,ineq_advent,0,1
IR9,ROF5-ROF6,1,2,choice,other_payoff,0,1
IR9,ROF5-ROF6,1,2,choice,self_payoff,0,1
IR9,ROF5-ROF6,1,0.002,choice,ineq_disadvent,1,1
IR9,ROF6-ROF7,1,2,presentation,ineq_disadvent,0,1
IR9,ROF6-ROF7,1,0.077,presentation,other_payoff,0,1
IR9,ROF6-ROF7,1,2,presentation,self_payoff,0,1
IR9,ROF6-ROF7,1,2,presentation,ineq_advent,0,1
IR9,ROF6-ROF7,1,2,choice,ineq_advent,0,1
IR9,ROF6-ROF7,1,2,choice,ineq_disadvent,0,1
IR9,ROF6-ROF7,1,0,choice,other_payoff,1,1
IR9,ROF6-ROF7,1,2,choice,self_payoff,0,1
IR9,ROF7-ROF8,1,2,presentation,ineq_advent,0,1
IR9,ROF7-ROF8,1,2,presentation,ineq_disadvent,0,1
IR9,ROF7-ROF8,1,2,presentation,other_payoff,0,1
IR9,ROF7-ROF8,1,2,presentation,self_payoff,0,1
IR9,ROF7-ROF8,1,2,choice,ineq_disadvent,0,1
IR9,ROF7-ROF8,1,0.007,choice,ineq_advent,1,1
IR9,ROF7-ROF8,1,0.011,choice,other_payoff,0,1
IR9,ROF7-ROF8,1,2,choice,self_payoff,0,1
