sub,electrode,values,perm_p,epoch,predictor,sig,cing_pvals
IR9,RCD1-RCD2,1,2,choice,ineq_advent,0,0
IR9,RCD1-RCD2,1,2,choice,ineq_disadvent,0,0
IR9,RCD1-RCD2,1,2,choice,self_payoff,0,0
IR9,RCD1-RCD2,1,0.118,presentation,ineq_disadvent,0,0
IR9,RCD1-RCD2,1,2,presentation,self_payoff,0,0
IR9,RCD1-RCD2,1,2,choice,other_payoff,0,0
IR9,RCD1-RCD2,1,2,presentation,ineq_advent,0,0
IR9,RCD1-RCD2,1,2,presentation,other_payoff,0,0
IR9,RCD2-RCD3,1,2,presentation,ineq_advent,0,0
IR9,RCD2-RCD3,1,0.138,presentation,ineq_disadvent,0,0
IR9,RCD2-RCD3,1,0.014,presentation,other_payoff,0,0
IR9,RCD2-RCD3,1,2,presentation,self_payoff,0,0
IR9,RCD2-RCD3,1,2,choice,ineq_disadvent,0,0
IR9,RCD2-RCD3,1,2,choice,other_payoff,0,0
IR9,RCD2-RCD3,1,2,choice,self_payoff,0,0
IR9,RCD2-RCD3,1,2,choice,ineq_advent,0,0
IR10,ROF1-ROF2,2,0.011,presentation,ineq_disadvent,0,2
IR10,ROF1-ROF2,2,0,presentation,other_payoff,1,2
IR10,ROF1-ROF2,2,2,presentation,ineq_advent,0,2
IR10,ROF1-ROF2,2,2,presentation,self_payoff,0,2
IR10,ROF1-ROF2,2,2,choice,ineq_advent,0,2
IR10,ROF1-ROF2,2,0,choice,ineq_disadvent,1,2
IR10,ROF1-ROF2,2,0.104,choice,other_payoff,0,2
IR10,ROF1-ROF2,2,2,choice,self_payoff,0,2
IR10,ROF5-ROF6,2,0,choice,ineq_disadvent,1,2
IR10,ROF5-ROF6,2,0,choice,other_payoff,1,2
IR10,ROF5-ROF6,2,0,choice,self_payoff,1,2
IR10,ROF5-ROF6,2,0,choice,ineq_advent,1,2
IR10,ROF5-ROF6,2,2,presentation,ineq_advent,0,2
IR10,ROF5-ROF6,2,0,presentation,ineq_disadvent,1,2
IR10,ROF5-ROF6,2,0.001,presentation,other_payoff,1,2
IR10,ROF5-ROF6,2,0,presentation,self_payoff,1,2
IR10,ROF6-ROF7,2,0,choice,ineq_advent,1,2
IR10,ROF6-ROF7,2,0.001,choice,ineq_disadvent,1,2
IR10,ROF6-ROF7,2,2,choice,other_payoff,0,2
IR10,ROF6-ROF7,2,0,choice,self_payoff,1,2
IR10,ROF6-ROF7,2,2,presentation,ineq_advent,0,2
IR10,ROF6-ROF7,2,2,presentation,other_payoff,0,2
IR10,ROF6-ROF7,2,0,presentation,self_payoff,1,2
IR10,ROF6-ROF7,2,2,presentation,ineq_disadvent,0,2
IR10,ROF7-ROF8,2,2,choice,ineq_disadvent,0,2
IR10,ROF7-ROF8,2,2,choice,other_payoff,0,2
IR10,ROF7-ROF8,2,0,choice,self_payoff,1,2
IR10,ROF7-ROF8,2,0.009,choice,ineq_advent,1,2
IR10,ROF7-ROF8,2,0,presentation,ineq_advent,1,2
IR10,ROF7-ROF8,2,2,presentation,ineq_disadvent,0,2
IR10,ROF7-ROF8,2,2,presentation,other_payoff,0,2
IR10,ROF7-ROF8,2,0,presentation,self_payoff,1,2
IR16,LCI1-LCI2,3,0.002,choice,ineq_advent,1,3
IR16,LCI1-LCI2,3,2,presentation,ineq_disadvent,0,3
IR16,LCI1-LCI2,3,2,presentation,self_payoff,0,3
IR16,LCI1-LCI2,3,2,presentation,ineq_advent,0,3
IR16,LCI1-LCI2,3,2,presentation,other_payoff,0,3
IR16,LCI1-LCI2,3,2,choice,other_payoff,0,3
IR16,LCI1-LCI2,3,2,choice,self_payoff,0,3
IR16,LCI1-LCI2,3,2,choice,ineq_disadvent,0,3
IR16,LCI2-LCI3,3,0.124,presentation,ineq_advent,0,3
IR16,LCI2-LCI3,3,2,presentation,ineq_disadvent,0,3
IR16,LCI2-LCI3,3,2,presentation,other_payoff,0,3
