electrode,sub
RCD1-RCD2,IR9
RCD2-RCD3,IR9
ROF1-ROF2,IR10
ROF2-ROF3,IR10
ROF3-ROF4,IR10
ROF5-ROF6,IR10
ROF6-ROF7,IR10
ROF7-ROF8,IR10
LCI1-LCI2,IR16
LCI2-LCI3,IR16
LSM1-LSM2,IR16
LSM2-LSM3,IR16
RPC1-RPC2,IR26
LOF2-LOF3,IR28
LOF3-LOF4,IR28
LOF4-LOF5,IR28
LOF5-LOF6,IR28
LOF6-LOF7,IR28
LAC1-LAC2,IR35
LAC2-LAC3,IR35
LAC3-LAC4,IR35
LAC4-LAC5,IR35
LPC1-LPC2,IR35
RSM1-RSM2,IR57
RSM2-RSM3,IR57
RAC1-RAC2,IR57
RAC2-RAC3,IR57
RAC3-RAC4,IR57
LSMA1-LSMA2,IR57
LSMA2-LSMA3,IR57
LSMA3-LSMA4,IR57
LSMA4-LSMA5,IR57
LSMA5-LSMA6,IR57
LAC1-LAC2,IR57
LAC2-LAC3,IR57
LAC3-LAC4,IR57
LAC4-LAC5,IR57
G57,CP34
RIHA2-RIHA3,CP34
