sub,electrode,values,perm_p,epoch,predictor,sig,cing_pvals
IR9,ROF1-ROF2,1,0,choice,other_payoff,1,1
IR9,ROF1-ROF2,1,2,choice,self_payoff,0,1
IR9,ROF1-ROF2,1,2,choice,ineq_disadvent,0,1
IR9,ROF1-ROF2,1,0.059,presentation,ineq_disadvent,0,1
IR9,ROF1-ROF2,1,2,presentation,other_payoff,0,1
IR9,ROF1-ROF2,1,2,choice,ineq_advent,0,1
IR9,ROF1-ROF2,1,2,presentation,ineq_advent,0,1
IR9,ROF1-ROF2,1,2,presentation,self_payoff,0,1
IR9,ROF2-ROF3,1,2,choice,ineq_advent,0,1
IR9,ROF2-ROF3,1,2,choice,other_payoff,0,1
IR9,ROF2-ROF3,1,2,choice,self_payoff,0,1
IR9,ROF2-ROF3,1,0,choice,ineq_disadvent,1,1
IR9,ROF2-ROF3,1,2,presentation,ineq_advent,0,1
IR9,ROF2-ROF3,1,0.012,presentation,ineq_disadvent,0,1
IR9,ROF2-ROF3,1,0.12,presentation,other_payoff,0,1
IR9,ROF2-ROF3,1,2,presentation,self_payoff,0,1
IR9,ROF3-ROF4,1,2,choice,ineq_advent,0,1
IR9,ROF3-ROF4,1,2,presentation,ineq_advent,0,1
IR9,ROF3-ROF4,1,2,presentation,self_payoff,0,1
IR9,ROF3-ROF4,1,2,presentation,ineq_disadvent,0,1
IR9,ROF3-ROF4,1,0.13,presentation,other_payoff,0,1
IR9,ROF3-ROF4,1,2,choice,self_payoff,0,1
IR9,ROF3-ROF4,1,2,choice,other_payoff,0,1
IR9,ROF3-ROF4,1,0,choice,ineq_disadvent,1,1
IR9,ROF4-ROF5,1,2,presentation,ineq_disadvent,0,0
IR9,ROF4-ROF5,1,2,presentation,ineq_advent,0,0
IR9,ROF4-ROF5,1,2,presentation,other_payoff,0,0
IR9,ROF4-ROF5,1,0.02,choice,self_payoff,0,0
IR9,ROF4-ROF5,1,2,choice,ineq_advent,0,0
IR9,ROF4-ROF5,1,2,choice,other_payoff,0,0
IR9,ROF4-ROF5,1,2,choice,ineq_disadvent,0,0
IR9,ROF4-ROF5,1,0.131,presentation,self_payoff,0,0
IR9,ROF5-ROF6,1,0.13,presentation,ineq_advent,0,0
IR9,ROF5-ROF6,1,2,presentation,ineq_disadvent,0,0
IR9,ROF5-ROF6,1,2,choice,other_payoff,0,0
IR9,ROF5-ROF6,1,2,choice,self_payoff,0,0
IR9,ROF5-ROF6,1,2,presentation,other_payoff,0,0
IR9,ROF5-ROF6,1,2,choice,ineq_advent,0,0
IR9,ROF5-ROF6,1,2,choice,ineq_disadvent,0,0
IR9,ROF5-ROF6,1,2,presentation,self_payoff,0,0
IR9,ROF6-ROF7,1,2,choice,self_payoff,0,0
IR9,ROF6-ROF7,1,2,choice,other_payoff,0,0
IR9,ROF6-ROF7,1,0.074,presentation,ineq_advent,0,0
IR9,ROF6-ROF7,1,2,choice,ineq_disadvent,0,0
IR9,ROF6-ROF7,1,2,choice,ineq_advent,0,0
IR9,ROF6-ROF7,1,2,presentation,ineq_disadvent,0,0
IR9,ROF6-ROF7,1,2,presentation,other_payoff,0,0
IR9,ROF6-ROF7,1,2,presentation,self_payoff,0,0
IR9,ROF7-ROF8,1,2,choice,ineq_disadvent,0,1
IR9,ROF7-ROF8,1,0,choice,other_payoff,1,1
IR9,ROF7-ROF8,1,2,choice,self_payoff,0,1
IR9,ROF7-ROF8,1,0.001,presentation,ineq_advent,1,1
IR9,ROF7-ROF8,1,2,choice,ineq_advent,0,1
IR9,ROF7-ROF8,1,2,presentation,ineq_disadvent,0,1
IR9,ROF7-ROF8,1,0.016,presentation,other_payoff,0,1
IR9,ROF7-ROF8,1,2,presentation,self_payoff,0,1
IR10,LOF11-LOF12,2,2,choice,self_payoff,0,2
IR10,LOF11-LOF12,2,2,choice,other_payoff,0,2
IR10,LOF11-LOF12,2,2,choice,ineq_advent,0,2
IR10,LOF11-LOF12,2,2,choice,ineq_disadvent,0,2
IR10,LOF11-LOF12,2,0.003,presentation,ineq_advent,1,2
IR10,LOF11-LOF12,2,0.006,presentation,self_payoff,1,2
IR10,LOF11-LOF12,2,2,presentation,other_payoff,0,2
IR10,LOF11-LOF12,2,2,presentation,ineq_disadvent,0,2
IR16,LOF1-LOF2,3,2,choice,ineq_disadvent,0,3
IR16,LOF1-LOF2,3,0.051,choice,other_payoff,0,3
IR16,LOF1-LOF2,3,2,presentation,ineq_disadvent,0,3
IR16,LOF1-LOF2,3,0,presentation,other_payoff,1,3
IR16,LOF1-LOF2,3,2,choice,self_payoff,0,3
IR16,LOF1-LOF2,3,2,presentation,self_payoff,0,3
IR16,LOF1-LOF2,3,0.095,presentation,ineq_advent,0,3
IR16,LOF1-LOF2,3,0.02,choice,ineq_advent,0,3
IR16,LOF2-LOF3,3,2,presentation,ineq_advent,0,3
IR16,LOF2-LOF3,3,2,presentation,ineq_disadvent,0,3
IR16,LOF2-LOF3,3,0.003,choice,self_payoff,1,3
