sub,electrode,values,perm_p,epoch,predictor,sig,cing_pvals
IR9,RAD4-RAD5,1,0.134,choice,other_payoff,0,0
IR9,RAD5-RAD6,1,0,choice,other_payoff,1,1
IR9,RAD6-RAD7,1,2,choice,other_payoff,0,0
IR9,RAD7-RAD8,1,2,choice,other_payoff,0,0
IR9,RAD8-RAD9,1,2,choice,other_payoff,0,0
IR9,RHD4-RHD5,1,2,choice,other_payoff,0,0
IR9,RHD5-RHD6,1,2,choice,other_payoff,0,0
IR9,RHD6-RHD7,1,2,choice,other_payoff,0,0
IR9,RHD7-RHD8,1,2,choice,other_payoff,0,0
IR9,RHD8-RHD9,1,2,choice,other_payoff,0,0
IR9,RTHD3-RTHD4,1,2,choice,other_payoff,0,0
IR9,RTHD4-RTHD5,1,0,choice,other_payoff,1,1
IR9,RTHD5-RTHD6,1,2,choice,other_payoff,0,0
IR9,RTHD6-RTHD7,1,2,choice,other_payoff,0,0
IR9,RTHD7-RTHD8,1,2,choice,other_payoff,0,0
IR9,RTHD9-RTHD10,1,2,choice,other_payoff,0,0
IR10,RAD6-RAD7,2,2,choice,other_payoff,0,0
IR10,RAD7-RAD8,2,2,choice,other_payoff,0,0
IR16,RAM4-RAM5,3,2,choice,other_payoff,0,0
IR16,RAM5-RAM6,3,2,choice,other_payoff,0,0
IR16,RAM6-RAM7,3,2,choice,other_payoff,0,0
IR16,RHH5-RHH6,3,2,choice,other_payoff,0,0
IR16,RHH6-RHH7,3,2,choice,other_payoff,0,0
IR16,RTH6-RTH7,3,2,choice,other_payoff,0,0
IR16,RTH7-RTH8,3,0,choice,other_payoff,1,3
IR16,RTH8-RTH9,3,2,choice,other_payoff,0,0
IR26,RAM4-RAM5,4,2,choice,other_payoff,0,0
IR26,RAM5-RAM6,4,2,choice,other_payoff,0,0
IR26,RAM6-RAM7,4,2,choice,other_payoff,0,0
IR26,RHP4-RHP5,4,2,choice,other_payoff,0,0
IR26,RHP5-RHP6,4,2,choice,other_payoff,0,0
IR26,RHP6-RHP7,4,2,choice,other_payoff,0,0
IR28,LAM5-LAM6,5,2,choice,other_payoff,0,0
IR28,LAM6-LAM7,5,0.002,choice,other_payoff,1,5
IR28,LAM7-LAM8,5,2,choice,other_payoff,0,0
IR28,LHH5-LHH6,5,0.012,choice,other_payoff,0,0
IR28,LHH6-LHH7,5,2,choice,other_payoff,0,0
IR28,LHH7-LHH8,5,2,choice,other_payoff,0,0
IR28,LHH8-LHH9,5,2,choice,other_payoff,0,0
IR28,LTH7-LTH8,5,2,choice,other_payoff,0,0
IR28,LTH8-LTH9,5,2,choice,other_payoff,0,0
IR35,RAM6-RAM7,6,2,choice,other_payoff,0,0
IR35,RAM7-RAM8,6,2,choice,other_payoff,0,0
IR35,RHH5-RHH6,6,2,choice,other_payoff,0,0
IR35,RHH6-RHH7,6,2,choice,other_payoff,0,0
IR35,RTH4-RTH5,6,0,choice,other_payoff,1,6
IR35,RTH5-RTH6,6,0.004,choice,other_payoff,1,6
IR57,RAM8-RAM9,7,2,choice,other_payoff,0,0
IR57,RHH7-RHH8,7,2,choice,other_payoff,0,0
IR57,RHH8-RHH9,7,2,choice,other_payoff,0,0
IR57,RHH9-RHH10,7,2,choice,other_payoff,0,0
IR57,RTH5-RTH6,7,2,choice,other_payoff,0,0
IR57,RTH6-RTH7,7,2,choice,other_payoff,0,0
IR57,RTH7-RTH8,7,0.03,choice,other_payoff,0,0
