"","trial","electrodes","bin_1","bin_2","bin_3","bin_4","bin_5","bin_6","bin_7","bin_8","bin_9","bin_10","bin_11","bin_12","bin_13","bin_14","bin_15","X","SID","newround_time","choice_time","buttonpress_time","reveal_time","self_payoff","other_payoff","self_foregone","other_foregone","RT","side_chosen","self_var_payoff","other_var_payoff","ineq_var_abs","ineq_choice_abs","ineq_foregone_abs","ineq_foregone","ineq_disadvent","ineq_advent","ineq_disadvent_choice","ineq_advent_choice","ineq_var","ineq_choice","chose_equality","self_diff","other_diff","L_self","R_self","L_other","R_other"
"1",1,"LAM1-LAM2",-0.3469561145,-0.3024123075,-0.6530154575,-0.542857808,0.01790886,0.380240288,0.797752188,0.67012559885,0.21169169135,-0.09765825865,-0.51874935865,-0.7140704945,-0.992056387,-1.173854137,-1.212402137,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"2",1,"LAM2-LAM3",0.88309216125,0.74631649875,0.03823242375,-0.06169244225,0.34431702125,0.53738988625,0.88913046125,0.75408533775,0.22683158775,-0.32380676225,-0.60865284325,-0.46345645375,-0.15628020375,0.063279528,-0.043580941,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"3",1,"LAM3-LAM4",0.25697399835,0.43779879085,0.61797059085,0.72987904085,0.54392994585,0.47413322935,0.24977967935,-0.01007447265,0.15841635085,0.07895801735,-0.13973262915,-0.10654658215,-0.14156661365,-0.24673270365,-0.38254560715,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"4",1,"LAM4-LAM5",0.752562933,1.0367451415,1.2423315915,1.2970684415,1.1834197915,0.963864336,0.866375626,1.127347526,1.471647776,1.6846522815,1.5255214565,1.2209783065,0.782453884,0.709725784,0.956650819,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"5",1,"LAM6-LAM7",0.42444097625,0.75870685475,0.82123010475,0.78578485475,0.85934865475,0.60214310475,0.65004070475,0.81430135475,0.85376510475,0.95072655475,0.72269275475,0.69551490475,0.57949860475,0.55274545475,0.96306215475,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"6",1,"LAM7-LAM8",-1.2974184375,-1.195173499,-1.05459079635,-0.99065479635,-0.76830370135,-0.50626558985,-0.0880427425,0.4114176075,0.5099449625,0.27343503514,-0.12517687486,-0.22866517486,-0.18571722486,-0.0630647475,0.1660507125,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"7",1,"LHB9-LHB10",-0.7213641095,-0.8052898415,-0.8189984615,-0.670318142,-0.353146492,0.097168908,0.366081028,0.6247035985,0.8684022485,0.9268257485,1.0479510485,0.7750755985,0.4626245485,0.3962043485,0.3374653485,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"8",1,"LAM8-LAM9",-0.0919141325,0.1044286415,0.1067465738,0.1095023893,0.1627313923,0.0172162183,0.3574833635,0.805023698,1.1888706085,1.489716443,1.047979823,0.614503365,0.00382581499999999,-0.011417932,0.404289238,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"9",1,"LAM9-LAM10",-0.78584159538,-0.54748967438,-0.1082295822,0.10151320905,0.20638265,0.27950025,0.17577225,0.3096989,0.3265607,0.121945835,-0.1537634005,-0.1204423505,0.0940438495,0.2456631645,0.45050495,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"10",1,"LIP4-LIP5",0.4619015185,0.3443685385,0.0487851335,-0.0586805665,0.2344787785,0.5678186785,0.5171014735,0.4353382735,0.069814643,-0.154497382,0.038371578,-0.145262507,-0.2401525265,-0.3675097515,-0.6838098015,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"11",1,"LHH5-LHH6",-0.68024262895,-0.3510585575,-0.1922849085,-0.1796353085,-0.0999379085,-0.1801178585,-0.1154491085,0.2655035915,0.6214532915,0.8703261915,0.7021709015,0.4949408015,0.1728874015,0.0212221515000001,0.3780478915,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"12",1,"LHH7-LHH8",-0.75192503,-0.8196028615,-0.681799752,-0.275665602,0.180431248,0.208848487,0.1530047885,0.2125782385,0.2689716385,0.704164206,0.82827675135,0.71557492685,0.66741297685,0.26696779685,0.0718804955,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"13",1,"LIP8-LIP9",-0.3672463,-0.38312735,-0.44469625,-0.478203609,-0.42562791265,-0.50522316265,-0.66882306265,-0.06860005865,0.27057435,0.125189755,-0.172863445,-0.662377939,-0.933003089,-0.925267144,-0.546033244,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"14",1,"LHB4-LHB5",-0.303410481,-0.364659346,-0.4850713705,-0.404646486,-0.259576201,0.019429349,0.4704140235,0.8408068235,1.1751636735,1.1371860815,0.7194777665,0.7360402665,0.6561433165,0.4152137135,0.2399006285,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"15",1,"LHB5-LHB6",-0.8725306405,-0.7343129905,-0.6770898405,-0.730920922,-0.513143237,-0.252550837,0.077660863,0.6546886945,0.9319223095,1.3906932595,1.5067719095,1.2567514095,1.0642827595,0.4595922357,0.3142711857,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"16",1,"LTT8-LTT9",0.6214015805,0.9204664305,1.117792465,0.873478055,0.92202214,0.92239499,0.99742669,1.3399483,1.42520966,1.45459841,1.0571272148,0.7540807583,0.53167754815,0.37537681165,0.55142475685,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"17",1,"LHB6-LHB7",1.2963445025,1.2331594175,1.072785705,0.8215906625,0.4790604625,0.695227098,0.8030074525,0.526057895,0.366897395,0.1081943445,-0.0619992035,0.3495540965,0.8051952465,1.0926437465,1.1534098545,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"18",1,"LHB7-LHB8",0.38212624,0.287818181,0.253820026,0.091249876,0.113625726,0.555629755,0.370636861,0.295939208,0.377343008,0.202745908,0.376171257,0.34346336,0.08803656,0.00238991,-0.05142364,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"19",1,"LHB8-LHB9",-0.9857970505,-1.0853698655,-1.0764756905,-1.1019425905,-1.0949250905,-0.9252971555,-0.9479125175,-0.8194065075,-0.7504587075,-1.001209083,-0.9342988363,-1.0331679963,-1.0851077463,-0.8810799208,-0.7738059,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"20",1,"LTT9-LTT10",0.72532688255,1.1736101215,1.3136018715,1.2113901715,0.870430666,0.288652856,0.158999869,0.236127619,0.3821481745,0.6885299345,0.6007996747,0.5420930247,0.42727133435,0.22592705935,0.11976870615,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"21",1,"LIP1-LIP2",-0.351894278,-0.415464878,-0.293621878,-0.368037078,-0.289670569,0.061697531,0.327972881,0.698631081,0.640369571,0.348866271,0.057999021,-0.14052685625,-0.01322125525,0.09022315925,0.08553165925,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"22",1,"LIP2-LIP3",0.623293904,0.798566214,0.7734735605,0.342657809,-0.369168441,-0.869492391,-0.860348998,-0.683446511,-0.563661258,-0.070336708,0.3427739375,0.6248649505,0.9243138975,0.6582053375,0.2350683225,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"23",1,"LIP3-LIP4",0.13174391255,-0.2698608599,-0.7002162599,-0.8985889784,-0.9651083439,-1.03784969345,-0.68425714345,-0.35504587495,-0.0469404044499999,0.02168740255,-0.01851888395,-0.0783763839499999,-0.50998404695,-0.48814829395,-0.55088400245,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"24",1,"LIP7-LIP8",-0.0454528635,0.0718663865000001,-0.246226324,-0.394932134,-0.129989161,-0.156170981,-0.0394808215,0.5702928285,0.7625210285,0.7593527985,0.7103366995,0.3827270495,0.2641805495,0.2792621995,0.6308845495,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"25",1,"LHH4-LHH5",-1.05590263385,-0.95566364385,-0.7511637555,-0.586203005,-0.6351927602,-0.6911987912,-0.6833956412,-0.4965168912,0.052094919,0.34024415,0.123265104,-0.273164658,-0.689901658,-1.1373063795,-0.9715795197,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"26",1,"LHH6-LHH7",-0.634203075,-0.4516313575,-0.4259775575,-0.3292868075,-0.1079304575,-0.240542224,-0.404553654,-0.418278654,-0.471304154,-0.3007730875,-0.291884188,-0.244224788,-0.4475549665,-0.4265658215,-0.0267373909999999,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"27",1,"LIP6-LIP7",0.0881623137,-0.1041588363,-0.2602150453,-0.4297452923,-0.3830148003,-0.3123781988,-0.4709274348,-0.0489701528,0.5758133972,0.8490010457,1.1691519907,0.9497796907,0.6731087907,0.5664179657,0.1991912477,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
